	Mycoplasma_agalactiae	Mycoplasma_gallisepticum	Mycoplasma_genitalium	Mycoplasma_hyopneumoniae
Number of genes	820	763	476	674
Number of genes in orthogroups	650	597	420	551
Number of unassigned genes	170	166	56	123
Percentage of genes in orthogroups	79.3	78.2	88.2	81.8
Percentage of unassigned genes	20.7	21.8	11.8	18.2
Number of orthogroups containing species	456	455	382	439
Percentage of orthogroups containing species	75.2	75.1	63.0	72.4
Number of species-specific orthogroups	42	15	3	36
Number of genes in species-specific orthogroups	183	112	6	114
Percentage of genes in species-specific orthogroups	22.3	14.7	1.3	16.9


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	150	151	224	167
'1	381	409	356	388
'2	34	33	21	27
'3	26	5	4	11
'4	5	1	0	5
'5	4	0	0	2
'6	2	1	0	2
'7	0	3	0	2
'8	0	1	0	1
'9	0	0	0	0
'10	2	0	1	0
11-15	1	1	0	1
16-20	0	0	0	0
21-50	1	0	0	0
51-100	0	1	0	0
101-150	0	0	0	0
151-200	0	0	0	0
201-500	0	0	0	0
501-1000	0	0	0	0
'1001+	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	24.8	24.9	37.0	27.6
'1	62.9	67.5	58.7	64.0
'2	5.6	5.4	3.5	4.5
'3	4.3	0.8	0.7	1.8
'4	0.8	0.2	0.0	0.8
'5	0.7	0.0	0.0	0.3
'6	0.3	0.2	0.0	0.3
'7	0.0	0.5	0.0	0.3
'8	0.0	0.2	0.0	0.2
'9	0.0	0.0	0.0	0.0
'10	0.3	0.0	0.2	0.0
11-15	0.2	0.2	0.0	0.2
16-20	0.0	0.0	0.0	0.0
21-50	0.2	0.0	0.0	0.0
51-100	0.0	0.2	0.0	0.0
101-150	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0
'1	381	409	356	388
'2	68	66	42	54
'3	78	15	12	33
'4	20	4	0	20
'5	20	0	0	10
'6	12	6	0	12
'7	0	21	0	14
'8	0	8	0	8
'9	0	0	0	0
'10	20	0	10	0
11-15	15	13	0	12
16-20	0	0	0	0
21-50	36	0	0	0
51-100	0	55	0	0
101-150	0	0	0	0
151-200	0	0	0	0
201-500	0	0	0	0
501-1000	0	0	0	0
'1001+	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0
'1	46.5	53.6	74.8	57.6
'2	8.3	8.7	8.8	8.0
'3	9.5	2.0	2.5	4.9
'4	2.4	0.5	0.0	3.0
'5	2.4	0.0	0.0	1.5
'6	1.5	0.8	0.0	1.8
'7	0.0	2.8	0.0	2.1
'8	0.0	1.0	0.0	1.2
'9	0.0	0.0	0.0	0.0
'10	2.4	0.0	2.1	0.0
11-15	1.8	1.7	0.0	1.8
16-20	0.0	0.0	0.0	0.0
21-50	4.4	0.0	0.0	0.0
51-100	0.0	7.2	0.0	0.0
101-150	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0
